,Timezone,ShipId,Latitude,Longitude
0,2024-09-27T10:38:29.012466+00:00,563142000,1.2275016666666665,103.77700666666667
1,2024-09-27T10:38:29.076090+00:00,563126900,22.021283333333333,114.14025333333333
2,2024-09-27T10:38:29.113403+00:00,416006892,25.13331833333333,121.82037
3,2024-09-27T10:38:29.119399+00:00,416235900,22.570881666666665,120.31129333333334
4,2024-09-27T10:38:29.119399+00:00,416000017,22.617711666666665,120.27894333333333
5,2024-09-27T10:38:29.175884+00:00,525022281,0.026121666666666665,109.247295
6,2024-09-27T10:38:29.175884+00:00,563009220,1.24766,103.75346833333333
7,2024-09-27T10:38:29.271864+00:00,567001010,13.579905,100.581825
8,2024-09-27T10:38:29.328592+00:00,416004878,22.301828333333333,114.20846666666667
9,2024-09-27T10:38:29.329602+00:00,477995432,22.293653333333335,114.16833333333334
