,Timezone,ShipId,Latitude,Longitude
0,2024-09-27T10:39:09.984831+00:00,413233760,24.432105,117.85528
1,2024-09-27T10:39:09.985836+00:00,600926015,23.535476666666668,117.54501
2,2024-09-27T10:39:10.000546+00:00,525989912,-6.774896666666667,111.95558833333332
3,2024-09-27T10:39:10.001615+00:00,525012038,-6.574398333333334,111.56562666666667
4,2024-09-27T10:39:10.003646+00:00,525004108,-6.310281666666667,110.56492
5,2024-09-27T10:39:10.006754+00:00,525022093,-6.780695,111.896175
6,2024-09-27T10:39:10.201888+00:00,100066168,23.97465833333333,117.88835999999999
7,2024-09-27T10:39:10.202897+00:00,667001616,1.23496,103.95431333333333
8,2024-09-27T10:39:10.202897+00:00,525018215,-7.18273,112.72172333333333
9,2024-09-27T10:39:10.205011+00:00,636014908,1.16328,103.809215
